,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
2706,OGDENSBURG (C),NYL029831,OGDENSBURG,NY,2,2022,2023-01-30T13:48:17.612-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",110.39,0,,Other Management Practice,,,,110.39,Class A,other_system
2707,"BOONVILLE, CITY OF",MOL040738,BOONVILLE,MO,7,2022,2023-01-30T14:04:54.073-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,207.11,0,,Other Management Practice,,,,207.11,Not Applicable,other_system
2713,CITY OF REPUBLIC,MOL022098,REPUBLIC,MO,7,2022,2023-01-31T14:44:38.471-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,242.92,0,,"Land Application, Other Management Practice",45.576,,,91.607,Class B,other_system
2720,LACSD - JWPCP,CAL053813,WHITTIER,CA,9,2022,2023-02-15T10:51:57.566-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",112105.0,0,,"Land Application, Other Management Practice",4457.0,,,107649.0,"Class B, Class A EQ",other_system
2721,MERCED WWTF,CAL079219,MERCED,CA,9,2022,2023-02-15T13:36:36.540-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1364.4,1,Land Application,Land Application,1364.4,,,,Class B,other_system
2737,REDDING STILLWATER WWTP,CAL082589,ANDERSON,CA,9,2022,2023-01-30T16:45:12.266-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",348.41,0,,Other Management Practice,,,,348.41,Class B,other_system
2738,REDDING CLEAR CREEK WWTP,CAL079731,REDDING,CA,9,2022,2023-01-30T16:49:55.056-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",486.81,0,,Other Management Practice,,,,486.81,Class B,other_system
2744,WINNIPESAUKEE RIVER BASIN,NHL100960,FRANKLIN,NH,1,2022,2023-02-06T09:55:30.980-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",270.09,0,,Land Application,270.09,,,,Class B,other_system
2745,BETHLEHEM (T),NYL025739,DELMAR,NY,2,2022,2023-01-31T08:15:31.400-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,634.0,0,,Other Management Practice,,,,634.0,Not Applicable,other_system
2748,"DELL RAPIDS, CITY OF",SDL022101,DELL RAPIDS,SD,8,2022,2023-01-31T09:37:32.200-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,76.0,0,,Other Management Practice,,,,76.0,Not Applicable,other_system
2755,ROCKVILLE WWTP,INL024449,ROCKVILLE,IN,5,2022,2023-01-31T10:16:15.312-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,84.7,0,,Land Application,45.2,,,,Class B,other_system
2761,BRISTOL TOWN HALL,RIL100005,BRISTOL,RI,1,2022,2023-02-01T13:33:06.597-0500,"A POTW that serves 10,000 people or more",438.0,0,,Other Management Practice,,,,438.0,Class A,other_system
2763,CITY OF HARLAN,IAL021342,HARLAN,IA,7,2022,2023-01-31T13:06:04.801-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,93.2,0,,Land Application,93.2,,,,Class B,other_system
2764,NARRAGANSETT TOWN HALL,RIL100188,NARRAGANSETT,RI,1,2022,2023-01-31T12:51:43.769-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,69.15,0,,Other Management Practice,,,,69.15,Not Applicable,other_system
2766,"CHANUTE, CITY OF",KSL080837,CHANUTE,KS,7,2022,2023-01-31T11:33:10.886-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,55.6,0,,Land Application,46.03,,,,Class B,other_system
2768,"COFFEYVILLE, CITY OF",KSL050733,COFFEYVILLE,KS,7,2022,2023-02-10T10:02:15.086-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,180.49,0,,Land Application,179.28,,,,Class B,other_system
2769,MFN REGIONAL WASTEWATER DIST,MAL101702,NORTON,MA,1,2022,2023-01-31T13:24:45.323-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",771.664,0,,Other Management Practice,,,,771.664,Not Applicable,other_system
2770,CITY OF DEWITT,IAL035271,DEWITT,IA,7,2022,2023-01-31T11:48:34.974-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,53.4,0,,Land Application,53.4,,,,Class B,other_system
2771,INDIAN RIVER COUNTY UTILITIES DEPARTMENT (IRCUD),FLL037940,VERO BEACH,FL,4,2022,2023-01-31T11:18:10.697-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1121.64,0,,Other Management Practice,,,,1121.64,Not Applicable,other_system
2773,RIVERSIDE RWQCP,CAL105350,RIVERSIDE,CA,9,2022,2023-02-21T17:39:13.262-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",6252.82,0,,"Land Application, Other Management Practice",514.96,,,5737.87,"Class B, Not Applicable",other_system
2776,"ATCHISON, CITY OF",KSL039128,ATCHISON,KS,7,2022,2023-02-02T11:03:31.202-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",632.23,0,,Land Application,632.23,,,,Class B,other_system
2777,CITY OF PERRY,IAL032379,PERRY,IA,7,2022,2023-02-01T15:18:48.809-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,245.157,0,,Land Application,245.157,,,,Class B,other_system
2778,CITY OF NEVADA,IAL031704,NEVADA,IA,7,2022,2023-01-31T12:58:46.898-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,51.69,0,,Land Application,51.69,,,,Class B,other_system
2779,CITY OF WAUKON,IAL033081,WAUKON,IA,7,2022,2023-01-31T12:42:52.784-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,67.4,0,,Land Application,67.4,,,,Class B,other_system
2782,"GREAT BEND, CITY OF",KSL038491,GREAT BEND,KS,7,2022,2023-02-02T12:38:55.154-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",259.0,0,,Land Application,188.0,,,,Class B,other_system
2785,"LAS CRUCES, CITY OF",NML023311,LAS CRUCES,NM,6,2022,2023-02-17T19:11:28.432-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",705.15,0,,Land Application,866.0,,,,Class A,other_system
2786,INCLINE VILLAGE WRF,NVL010501,INCLINE VILLAGE,NV,9,2022,2023-01-31T13:32:56.561-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,345.58,0,,Other Management Practice,,,,345.58,Not Applicable,other_system
2787,DOVER CITY OF WWTP,NHL101311,DOVER,NH,1,2022,2023-01-31T12:35:40.886-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",755.39,0,,Other Management Practice,,,,755.39,Class A,other_system
2788,BIG CANOE UTILITIES COMPANY INC. (BLACKWELL CREEK WTP),GAL640141,MARBLE HILL,GA,4,2022,2023-01-31T12:41:48.686-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,1.1,0,,Other Management Practice,,,,1.1,Class B,other_system
2790,HUDSON (C),NYL022039,HUDSON,NY,2,2022,2023-02-13T09:38:16.808-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,217.88,0,,Other Management Practice,,,,217.88,Not Applicable,other_system
2808,WARE W W T P,MAL100889,WARE,MA,1,2022,2023-02-07T09:52:36.355-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,147.72,0,,Other Management Practice,,,,143.72,Not Applicable,other_system
2818,GUNNISON CITY OF,COL041530,GUNNISON,CO,8,2022,2023-02-01T17:57:31.710-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,147.76,0,,Land Application,147.76,,,,Class A,other_system
2820,CITY OF GRUNDY CENTER,IAL024511,GRUNDY CENTER,IA,7,2022,2023-02-03T12:39:52.202-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,59.25,0,,Land Application,59.25,,,,Class B,other_system
2824,SUNRISE NO 1 WWTP (SPRINGTREE),FLL041947,SUNRISE,FL,4,2022,2023-02-02T11:18:29.575-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",673.03,0,,Other Management Practice,,,,673.03,"Class A EQ, Class A",other_system
2833,MIDDLETOWN SEWERAGE AUTHORITY,NJL025356,BELFORD,NJ,2,2022,2023-02-01T13:39:34.061-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",758.0,0,,Other Management Practice,,,,758.0,"Class B, Class A EQ",other_system
2838,DIXON WWTF,CAL010516,DIXON,CA,9,2022,2023-02-01T09:32:18.654-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
2842,MWRA - DEER ISLAND P O T W,MAL103284,BOSTON,MA,1,2022,2023-02-15T10:41:50.352-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",35107.0,0,,Land Application,27263.0,,,,Class A EQ,other_system
2844,GEORGETOWN TOWN OF,COL027961,GEORGETOWN,CO,8,2022,2023-02-01T10:49:24.522-0500,Other,84.24,0,,Other Management Practice,,,,84.24,Not Applicable,other_system
2847,MAYAGUEZ COMPOSTING PLANT,PRL500093,MAYAGUEZ,PR,2,2022,2023-02-21T10:27:31.155-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,1113.28,0,,Land Application,3346.6,,,,Class A,other_system
2849,"BATESVILLE WWTP, CITY OF",INL039268,BATESVILLE,IN,5,2022,2023-02-21T08:43:19.740-0500,"A POTW that serves 10,000 people or more",269.0,0,,Land Application,269.0,,,,Class B,other_system
2852,SOUTH BURLINGTON WWTF--AIRPORT PARKWAY,VTL100366,SOUTH BURLINGTON,VT,1,2022,2023-02-01T13:57:03.967-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",466.6606,0,,Land Application,466.6606,,,,Class A EQ,other_system
2855,LOVELAND CITY OF,COL026701,LOVELAND,CO,8,2022,2023-02-01T13:28:08.977-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1031.71,0,,Land Application,1031.71,,,,Class B,other_system
2856,US DOE/SAVANNAH RIVER SITE,SCL000175,AIKEN COUNTY,SC,4,2022,2023-02-14T13:59:53.664-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,14.8,0,,Other Management Practice,,,,86.25,Not Applicable,other_system
2858,CENTENNIAL WATER AND SAN DIST,COL037966,HIGHLANDS RANCH,CO,8,2022,2023-02-16T15:10:24.855-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1898.86,0,,Land Application,71.39,,,,Class B,other_system
2860,OWEGO (V),NYL029262,OWEGO,NY,2,2022,2023-02-06T10:10:49.743-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,273.69,0,,Land Application,273.69,,,,Class A,other_system
2864,CONCORD WWTP,MAL100668,CONCORD,MA,1,2022,2023-02-02T12:34:46.816-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",204.3,0,,Other Management Practice,,,,204.3,Not Applicable,other_system
2865,SIMI VALLEY WQCP,CAL055221,SIMI VALLEY,CA,9,2022,2023-02-01T17:01:01.873-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1327.0,0,,Other Management Practice,,,,1327.0,Class B,other_system
2866,BURRILLVILLE SEWER COMMISSION,RIL100455,HARRISVILLE,RI,1,2022,2023-02-01T14:48:19.498-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,380.21,0,,Other Management Practice,,,,380.21,Not Applicable,other_system
2869,LAKE CITY,MNL020664,LAKE CITY,MN,5,2022,2023-02-01T15:27:36.134-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,161.91,0,,Land Application,161.91,,,,Class A,other_system
2870,BOXELDER SANITATION DISTRICT,COL020478,FORT COLLINS,CO,8,2022,2023-02-01T15:57:38.913-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",316.72,0,,Other Management Practice,,,,316.72,Not Applicable,other_system
2876,INLAND EMPIRE REGIONAL COMPOSTING FACILITY,CAL001064,CHINO HILLS,CA,9,2022,2023-02-14T15:10:20.743-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,33589.0,0,,Land Application,33589.0,,,,Class A EQ,other_system
2877,THOUSAND OAKS HILL CANYON WWTP,CAL056294,THOUSAND OAKS,CA,9,2022,2023-02-01T18:45:56.045-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1995.0,0,,Other Management Practice,,,,1995.0,Class B,other_system
2879,MARIETTA - WCRSA,SCL026882,GREENVILLE,SC,4,2022,2023-02-07T10:59:23.000-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,26.75,0,,Other Management Practice,,,,26.75,Not Applicable,other_system
2895,NEW ALBANY WWTP,INL023884,NEW ALBANY,IN,5,2022,2023-02-02T13:05:31.312-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",5801.0,0,,Other Management Practice,,,,5801.0,Class B,other_system
2899,WEST CENTRAL CONSERVANCY DISTRICT,INL051632,AVON,IN,5,2022,2023-02-02T10:10:03.325-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,805.2,0,,Other Management Practice,,,,805.2,Class B,other_system
2901,LOWER FOUNTAIN METRO SEWAGE DISPOSAL DIST,COL000005,FOUNTAIN,CO,8,2022,2023-02-02T10:42:10.973-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,349.45,0,,Other Management Practice,,,,349.45,Class B,other_system
2902,FILLMORE WRP,CAL059021,FILLMORE,CA,9,2022,2023-02-21T12:27:24.726-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,407.7,0,,Land Application,407.7,,,,Class A,other_system
2903,SUFFERN (V),NYL022748,SUFFERN,NY,2,2022,2023-02-03T12:53:53.019-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",247.0,0,,Land Application,247.0,,,,Class A EQ,other_system
2904,FOUNTAIN SANITATION DISTRICT,COL020532,FOUNTAIN,CO,8,2022,2023-02-02T10:50:29.665-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,108.43,0,,Other Management Practice,,,,108.43,Class B,other_system
2906,EVANS CITY OF,COL020508,EVANS,CO,8,2022,2023-02-16T11:06:54.934-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
2909,CITY OF SMITHVILLE,MOL055204,SMITHVILLE,MO,7,2022,2023-02-10T09:41:37.191-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.549,0,,Land Application,0.549,,,,Class B,other_system
2911,SWIFT BEEF COMPANY,UTL000281,HYRUM,UT,8,2022,2023-02-08T13:05:58.709-0500,Other,1467.0,0,,Land Application,1467.0,,,,Class A,other_system
2913,CITY OF CORALVILLE,IAL020788,CORALVILLE,IA,7,2022,2023-02-02T12:31:43.829-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",404.0,0,,Land Application,404.0,,,,Class B,other_system
2915,LITTLE FALLS (C),NYL022403,LITTLE FALLS,NY,2,2022,2023-02-02T12:46:12.263-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,594.0,0,,Land Application,594.0,,,,Class B,other_system
2918,"GARDEN CITY, CITY OF",KSL038962,GARDEN CITY,KS,7,2022,2023-02-02T13:01:01.521-0500,"A POTW that serves 10,000 people or more",2174.7,0,,Land Application,2174.7,,,,Class B,other_system
2921,TRUCKEE MEADOWS WRF,NVL020150,SPARKS,NV,9,2022,2023-02-28T12:12:59.945-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",10067.0,0,,Other Management Practice,,,,10067.0,Not Applicable,other_system
2923,ENFIELD POTW,CTL100200,ENFIELD,CT,1,2022,2023-02-02T13:24:25.220-0500,"A POTW that serves 10,000 people or more",1308.0,0,,Other Management Practice,,,,1308.0,Not Applicable,other_system
2926,PASO ROBLES WWTP,CAL047953,PASO ROBLES,CA,9,2022,2023-02-02T14:41:59.227-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",915.8,0,,Other Management Practice,,,,915.8,Class B,other_system
2932,"ABILENE, CITY OF WWTP",KSL098647,ABILENE,KS,7,2022,2023-02-03T09:21:15.164-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,85.0,0,,Land Application,85.0,,,,Class B,other_system
2938,EUREKA ELK RIVER WWTP,CAL024449,EUREKA,CA,9,2022,2023-02-03T15:53:14.699-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",561.0,0,,Land Application,561.0,,,,Class B,other_system
2945,VILLAGE OF WELLINGTON WWTP,FLL042595,WELLINGTON,FL,4,2022,2023-02-07T10:47:24.103-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,687.77,0,,Land Application,687.77,,,,Class A EQ,other_system
2973,SOUTH SAN LUIS OBISPO WWTP,CAL048003,OCEANO,CA,9,2022,2023-02-03T14:17:37.809-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",312.6,0,,Land Application,312.6,,,,Class B,other_system
2980,CAMROSA WRF,CAL059501,CAMARILLO,CA,9,2022,2023-02-07T17:16:47.422-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,172.76,0,,Other Management Practice,,,,172.76,Class B,other_system
2982,CITY OF WASHINGTON,IAL032433,WASHINGTON,IA,7,2022,2023-02-03T14:20:43.788-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,108.5,0,,Land Application,108.5,,,,Class B,other_system
2983,ERIE COUNTY SD#6,NYL022136,BUFFALO,NY,2,2022,2023-02-15T12:08:56.494-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,313.31,0,,Other Management Practice,,,,313.31,Not Applicable,other_system
2987,ERIE CO SD#8,NYL028436,BUFFALO,NY,2,2022,2023-02-15T12:16:22.121-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,152.1,0,,Other Management Practice,,,,152.1,Not Applicable,other_system
2988,ERIE COUNTY,NYL095401,BUFFALO,NY,2,2022,2023-02-15T14:26:57.504-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,2916.1,0,,Incineration,,,2916.1,,,other_system
2990,WIDEFIELD WATER AND SANITATION DISTRICT,COL021067,COLORADO SPRINGS,CO,8,2022,2023-02-03T14:38:46.496-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",567.5,0,,Other Management Practice,,,,567.5,Class B,other_system
2998,SHAWNEE CO. PUBLIC WORKS,KSL117731,TOPEKA,KS,7,2022,2023-02-03T15:25:46.246-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,111.3,0,,"Land Application, Other Management Practice",21.6,,,23.8,Class B,other_system
3000,ST CLAIR WWTF,MOL099465,ST. CLAIR,MO,7,2022,2023-02-16T16:12:11.102-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,41.88,0,,Land Application,41.88,,,,Class B,other_system
3002,REEDLEY WWTP,CAL081230,REEDLEY,CA,9,2022,2023-02-03T16:10:41.159-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",516.43,0,,Other Management Practice,,,,516.43,Class A,other_system
3004,BAKERSFIELD WWTP 2,CAL000407,BAKERSFIELD,CA,9,2022,2023-02-16T18:40:51.896-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,2840.0,0,,Land Application,2840.0,,,,Class B,other_system
3008,TABERNASH MEADOWS WSD,COL045501,TABERNASH,CO,8,2022,2023-02-19T13:58:07.153-0500,Other,5.8,0,,Other Management Practice,,,,5.8,Class B,other_system
3010,"CHESTERTON WWTP, TOWN OF",INL022578,PORTER,IN,5,2022,2023-02-09T16:31:43.302-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",230.8,0,,"Land Application, Other Management Practice",279.3,,,23.86,Class B,other_system
3011,"ARTESIA, CITY OF",NML022268,ARTESIA,NM,6,2022,2023-03-10T17:30:17.244-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",285.0,0,,"Other Management Practice, Land Application",286.0,,,286.0,Class A,other_system
3019,AUBURN (C),NYL021903,AUBURN,NY,2,2022,2023-02-14T17:18:58.013-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1679.9,0,,Other Management Practice,,,,1679.89,Not Applicable,other_system
3023,AUBURN WWTP,INL020672,AUBURN,IN,5,2022,2023-02-06T08:43:41.899-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,2020.12,0,,Other Management Practice,,,,2020.12,Class A EQ,other_system
3026,CITY OF CASSVILLE,MOL042579,CASSVILLE,MO,7,2022,2023-02-06T11:11:00.412-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,29.25,0,,Land Application,29.25,,,,Class B,other_system
3029,"LEAVENWORTH, CITY OF",KSL036366,LEAVENWORTH,KS,7,2022,2023-02-06T09:46:14.294-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,3626.23,0,,Other Management Practice,,,,3626.0,Not Applicable,other_system
3037,TOWN OF WALLACE,NCL003450,WALLACE,NC,4,2022,2023-02-06T11:13:57.821-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,147.88,0,,Land Application,147.88,,,,Class B,other_system
3040,CITY OF MAQUOKETA,IAL024481,MAQUOKETA,IA,7,2022,2023-02-06T10:48:53.616-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,85.0,0,,Other Management Practice,,,,85.0,Class B,other_system
3047,ROCKLAND  WWTP,MAL101923,ROCKLAND,MA,1,2022,2023-02-06T11:50:07.462-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,260.1,0,,Other Management Practice,,,,260.1,Class B,other_system
3048,PALMER W P C F,MAL101168,THREE RIVERS,MA,1,2022,2023-02-06T13:20:14.965-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,410.0,0,,Other Management Practice,,,,410.0,Not Applicable,other_system
3052,KREMMLING SANITATION DISTRICT,COL048437,KREMMLING,CO,8,2022,2023-02-17T17:08:43.560-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
3054,LEESBURG/TURNPIKE WWTF,FLL105147,LEESBURG,FL,4,2022,2023-02-10T07:46:44.470-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",425.9,0,,Land Application,425.9,,,,Class B,other_system
3057,"GILLETTE, CITY OF",WYL020125,GILLETTE,WY,8,2022,2023-02-16T15:46:45.816-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",697.0,1,Land Application,Land Application,697.0,,,,Class A,other_system
3059,WATSONVILLE WWTP,CAL048216,WATSONVILLE,CA,9,2022,2023-02-06T16:10:36.018-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",980.71,0,,Land Application,980.71,,,,"Class B, Class A",other_system
3061,MILLVILLE NJ SEWER UTILITY,NJL029467,MILLVILLE,NJ,2,2022,2023-02-09T12:40:48.147-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",747.0,0,,"Land Application, Incineration",90.1,,656.9,,Class A,other_system
3070,CITY OF WEBSTER CITY,IAL036625,WEBSTER CITY,IA,7,2022,2023-02-13T11:41:19.370-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,92.4,0,,Land Application,92.4,,,,Class B,other_system
3071,"PEMBROKE PINES, CITY OF WWTP",FLL013575,PEMBROKE PINES,FL,4,2022,2023-02-06T15:14:49.925-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,489.0,0,,"Land Application, Other Management Practice",73.0,,,416.0,"Class B, Not Applicable",other_system
3073,THOMAS P. SMITH WWTP,FLL010139,TALLAHASSEE,FL,4,2022,2023-02-07T15:24:49.973-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3048.8,0,,Land Application,3048.8,,,,Class A EQ,other_system
3074,CITY OF MASON CITY,IAL057169,MASON CITY,IA,7,2022,2023-02-06T16:18:15.881-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,637.0,0,,Land Application,637.0,,,,Class B,other_system
3077,STAR ISLAND TREATMENT FACILITY,NHL101028,PORTSMOUTH,NH,1,2022,2023-02-10T13:08:55.462-0500,Other,1.2,0,,Other Management Practice,,,,1.2,Not Applicable,other_system
3080,BEAUMONT WWTP #1,CAL105376,BEAUMONT,CA,9,2022,2023-02-14T19:49:15.872-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1267.0,0,,Other Management Practice,,,,1267.0,Not Applicable,other_system
3081,NEW CANAAN STP,CTL101273,NEW CANAAN,CT,1,2022,2023-02-07T09:06:53.228-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,348.0,0,,Other Management Practice,,,,348.0,Not Applicable,other_system
3082,TORRINGTON WPCF,CTL100579,TORRINGTON,CT,1,2022,2023-02-08T10:46:52.469-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2649.2,0,,Other Management Practice,,,,2649.2,Not Applicable,other_system
3083,PLAINFIELD WPCF,CTL100447,PLAINFIELD,CT,1,2022,2023-02-08T12:18:08.414-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,226.211,0,,Other Management Practice,,,,226.211,Not Applicable,other_system
3086,GOWANDA (V),NYL032093,GOWANDA,NY,2,2022,2023-02-07T09:25:06.132-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,207.13,0,,Other Management Practice,,,,207.13,Not Applicable,other_system
3088,UPPER THOMPSON SANITATION DISTRICT,COL031844,ESTES PARK,CO,8,2022,2023-02-07T09:49:44.093-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,175.81,0,,Other Management Practice,,,,175.81,Not Applicable,other_system
3089,MDWASA SOUTH DISTRICT WWTF,FLL042137,MIAMI,FL,4,2022,2023-02-13T13:01:40.119-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",12193.08,0,,"Land Application, Surface Disposal",12193.08,4.48,,,Class B,other_system
