,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),sic_permit
1886,"CREVE COEUR WWTP, VILLAGE OF",ILL021237,CREVE COEUR,IL,5,2022,2023-01-09T09:27:06.922-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,119.7,0,,Other Management Practice,,,,85.6,Not Applicable,"[4952, 4952, 4952, 4952, 4952]"
1887,BOROUGH OF HUNTINGDON,PAL026191,HUNTINGDON,PA,3,2022,2023-01-09T09:56:00.392-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,226.08,0,,Land Application,226.08,,,,Class A EQ,"[4952, 4952, 4952]"
1888,SELBYVILLE STP,DEL020010,SELBYVILLE,DE,3,2022,2023-01-09T10:21:10.371-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,74.19,0,,Land Application,74.19,,,,Class B,[4952]
1889,CLAYTON COUNTY,GAL038369,MORROW,GA,4,2022,2023-01-13T14:26:19.027-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",826.0,0,,Land Application,676.0,,,,Class A,"[4952, 9511, 4952, 4952]"
1890,CEDAR CITY CORPORATION,UTL024970,CEDAR CITY,UT,8,2022,2023-01-09T10:15:57.531-0500,"A POTW that serves 10,000 people or more",950.0,0,,Other Management Practice,,,,950.0,Not Applicable,"[4952, 4952, 4952, 9999, 4952, 4952, 4952, 4952, 9999]"
1891,SALAMANCA BOARD OF PUBLIC UTILITES,NYL020508,SALAMANCA,NY,2,2022,2023-01-11T08:42:15.357-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,59.0,0,,Land Application,59.0,,,,Class B,['NO_SIC_MATCH']
1892,TAYLORVILLE SD STP,ILL031356,TAYLORVILLE,IL,5,2022,2023-01-09T10:53:03.183-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",178.46,0,,Other Management Practice,,,,178.46,Not Applicable,"[4952, 4952, 4952, 4952, 4952]"
1893,LIBERTY WASTEWATER TREATMENT PLANT,MOL137111,LIBERTY,MO,7,2022,2023-01-09T11:28:37.140-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",751.36,0,,Land Application,751.36,,,,Class B,"[4952, 4952, 4952, 4952, 4952]"
1894,NORTH BEND STP,WAL029351,NORTH BEND,WA,10,2022,2023-01-10T14:45:52.475-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,162.7,0,,Other Management Practice,,,,162.7,Not Applicable,"[4952, 9999]"
1895,ENUMCLAW STP,WAL020575,ENUMCLAW,WA,10,2022,2023-01-09T11:24:38.675-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",261.9,0,,Land Application,261.9,,,,Class B,"[4952, 4952]"
1896,CITY OF AUBURN - HC MORGAN WPCF,ALL050237,AUBURN,AL,4,2022,2023-01-09T11:56:49.726-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1499.0,0,,Land Application,1499.0,,,,Class B,"[4952, 1629, 4952, 1629, 1629, 4952, 1629, 4952, 1629, 1629, 4952]"
1897,NEW PORT RICHEY CITY OF WWTF,FLL127434,NEW PORT RICHEY,FL,4,2022,2023-01-11T09:44:03.199-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1223.87,0,,Other Management Practice,,,,1223.87,Class A,"[9511, 4952, 4952]"
1898,PROVO CITY CORP,UTL021717,PROVO,UT,8,2022,2023-01-31T12:58:12.243-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1109.0,0,,Land Application,1119.0,,,,Class B,"[9111, 5171, 4952, 4952, 4212, 4212, 4952, 4212, 4952, 5171, 4952, 5171, 4952, 4952, 5171, 9111, 4212]"
1899,ROGERS,MNL029629,ROGERS,MN,5,2022,2023-02-14T10:17:18.362-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952, 4952]"
1900,AUBURN WWTP,CAL077712,AUBURN,CA,9,2022,2023-01-09T12:58:56.380-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",202.54,0,,Other Management Practice,,,,202.54,Not Applicable,['NO_SIC_MATCH']
1901,METROPOLITAN COUNCIL-EAGLE PT,MNL029904,COTTAGE GROVE,MN,5,2022,2023-02-14T10:22:48.173-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2302.0,0,,Other Management Practice,,,,2302.0,Not Applicable,"[4952, 4952, 4952]"
1902,"LINTON WWTP, CITY OF",INL020575,LINTON,IN,5,2022,2023-01-09T13:32:56.965-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,158.0,0,,Land Application,177.0,,,,Class A,['NO_SIC_MATCH']
1903,EAST WINDSOR WATER POL CON PLT,NJL023787,EAST WINDSOR,NJ,2,2022,2023-02-09T07:12:45.028-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",747.0,0,,Incineration,,,747.0,,,['NO_SIC_MATCH']
1904,METROPOLITAN COUNCIL-HASTINGS,MNL029955,HASTINGS,MN,5,2022,2023-02-14T10:28:53.691-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",870.0,0,,Other Management Practice,,,,870.0,Not Applicable,['NO_SIC_MATCH']
1905,CITY OF O'FALLON,MOL028720,O'FALLON,MO,7,2022,2023-01-09T13:25:39.049-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1736.81,0,,Other Management Practice,,,,1736.81,Not Applicable,"[9511, 9511, 9511]"
1906,"FRANKFORT WWTP, CITY OF",INL022934,FRANKFORT,IN,5,2022,2023-01-10T15:14:59.030-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,640.0,0,,Land Application,640.0,,,,Class B,"[9131, 9199, 9111]"
1907,SHERRILL (C) STP,NYL022110,SHERRILL,NY,2,2022,2023-02-01T07:34:09.445-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,331.78,0,,Surface Disposal,,331.78,,,Class A,"[4952, 4952]"
1908,ATLANTA (R.M. CLAYTON WPCP),GAL021482,ATLANTA,GA,4,2022,2023-01-25T12:06:32.003-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",19880.18,0,,"Incineration, Other Management Practice",,,13657.77,6222.41,Not Applicable,"[4952, 4952, 4952, 4952, 4941, 4952, 4952, 4952, 4952, 4952]"
1909,DYERSBURG STP,TNL023477,DYERSBURG,TN,4,2022,2023-01-09T13:32:19.670-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",172.76,0,,Land Application,172.76,,,,Class B,"[4952, 4952, 4952]"
1910,FESTUS-CRYSTAL CITY SEWAG,MOL080632,CRYSTAL CITY,MO,7,2022,2023-01-09T13:40:27.796-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,134.53,0,,Land Application,134.53,,,,Class B,['NO_SIC_MATCH']
1911,BERLIN P C F,NHL100013,BERLIN,NH,1,2022,2023-01-09T13:57:00.334-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,428.631,0,,Other Management Practice,,,,428.631,Not Applicable,['NO_SIC_MATCH']
1912,RIVERBANK WWTP,CAL001310,RIVERBANK,CA,9,2022,2023-01-19T13:37:33.053-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2563.0,0,,Land Application,2563.0,,,,Class B,['NO_SIC_MATCH']
1913,METROPOLITAN COUNCIL-ST. CROIX,MNL029998,OAK PARK HEIGHTS,MN,5,2022,2023-02-14T10:33:19.453-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",908.0,0,,Other Management Practice,,,,908.0,Not Applicable,['NO_SIC_MATCH']
1914,METROPOLITAN COUNCIL-BLUE LAKE,MNL029882,SHAKOPEE,MN,5,2022,2023-02-14T10:37:01.575-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",7168.0,0,,"Land Application, Other Management Practice",7168.0,,,10.6,Class A,[4952]
1915,OCUD/SOUTH WRF,FLL107972,ORLANDO,FL,4,2022,2023-02-22T08:45:52.948-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,6943.81,0,,Land Application,6943.812936,,,,Class B,[4952]
1916,FULTON COUNTY (BIG CREEK),GAL024333,ATLANTA,GA,4,2022,2023-01-31T14:39:41.735-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3099.0,0,,Other Management Practice,,,,3099.0,Not Applicable,"[4952, 4952, 4952]"
1917,CITY OF AMERICUS,GAL047767,AMERICUS,GA,4,2022,2023-01-09T15:30:41.601-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",316.6,0,,Other Management Practice,,,,316.6,Class A,"[4952, 3646, 4952, 3646, 3646, 4952]"
1918,PIKEVILLE WWTP,KYL025291,PIKEVILLE,KY,4,2022,2023-01-09T15:46:12.216-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,176.45,0,,Land Application,176.45,,,,Class B,"[4952, 4952, 4952, 4952]"
1919,BUTLER AREA SEWER AUTH-WTR POL,PAL026697,BUTLER,PA,3,2022,2023-01-10T15:25:18.789-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1293.0,0,,Other Management Practice,,,,1293.0,Class B,"[4952, 4952, 4952, 4952, 4952, 4952]"
1920,NAVAL AIRSTA WHIDBEY ISLAND -,WAL003468,OAK HARBOR,WA,10,2022,2023-01-27T11:54:13.028-0500,"A POTW that serves 10,000 people or more",35.2,0,,Other Management Practice,,,,35.2,Class A,"[9711, 9711, 9711, 5171, 9711, 4581, 9711, 4493, 4952, 4953, 9711, 9711, 4619, 4952, 4952, 9711, 4953, 9711, 4581, 4493, 5171, 5093, 5093, 4581, 9711, 9711, 9711, 9711, 5541]"
1921,BROCKTON A W R F,MAL101010,BROCKTON,MA,1,2022,2023-01-09T16:55:06.836-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",4320.921,0,,Other Management Practice,,,,4320.921,Not Applicable,"[4952, 4952, 4952, 4952, 4952, 4952, 4952]"
1922,BISMARCK CITY OF,NDL023434,BISMARCK,ND,8,2022,2023-01-17T17:17:05.055-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",1056.0,0,,Land Application,1056.0,,,,Class B,['NO_SIC_MATCH']
1923,EXETER TOWN OF,NHL100871,EXETER,NH,1,2022,2023-01-10T08:50:07.814-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1297.12,0,,Other Management Practice,,,,1297.12,Not Applicable,"[4952, 4952, 4952, 4952]"
1924,CITY OF STOCKBRIDGE,GAL023337,STOCKBRIDGE,GA,4,2022,2023-01-25T13:54:36.767-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,171.9,1,Land Application,"Land Application, Other Management Practice",127.7,,,44.2,"Class B, Not Applicable","[4952, 4952, 4953]"
1925,WILLINGBORO WATER PCF,NJL023361,WILLINGBORO,NJ,2,2022,2023-01-19T10:36:52.348-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",433.35,0,,Other Management Practice,,,,433.35,Class A,"[4952, 4952, 4952, 4952]"
1926,FULTON COUNTY (LITTLE RIVER),GAL033251,ATLANTA,GA,4,2022,2023-01-31T14:40:45.848-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",200.79,0,,Other Management Practice,,,,200.79,Not Applicable,"[4952, 4952, 4952]"
1927,BALLENGER CREEK STP,MDL021822,FREDERICK,MD,3,2022,2023-01-17T15:17:01.061-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,5563.0,0,,Land Application,5563.0,,,,Class B,"[4952, 4952, 4952, 4953, 4952, 4952]"
1928,SCHENECTADY (C),NYL020516,SCHENECTADY,NY,2,2022,2023-01-10T08:59:44.824-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1820.0,0,,Other Management Practice,,,,1820.0,Class B,['NO_SIC_MATCH']
1929,LANDIS SEWERAGE AUTHORITY,NJL143529,VINELAND,NJ,2,2022,2023-02-06T11:07:01.220-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",909.43,0,,Land Application,909.43,,,,Class B,"[4911, 4952, 4952]"
1930,KANKAKEE RIVER METRO AGENCY,ILL021784,KANKAKEE,IL,5,2022,2023-01-23T15:33:19.256-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",4665.0,0,,Land Application,3680.0,,,,Class B,"[4952, 9999, 4952, 4952, 4952]"
1931,COLUMBUS WWTF,NEL035025,COLUMBUS,NE,7,2022,2023-01-10T10:33:27.604-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,784.3,0,,Land Application,784.3,,,,Class A,['NO_SIC_MATCH']
1932,CUMBERLAND WWTP,MDL021598,CUMBERLAND,MD,3,2022,2023-01-11T10:14:27.402-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1295.0,0,,Land Application,1236.0,,,,Class A EQ,"[4952, 4952]"
1933,ALEXANDRIA CITY SANITARY AUTHO,VAL025160,ALEXANDRIA,VA,3,2022,2023-02-17T12:11:14.795-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,4958.0,0,,Land Application,4958.0,,,,Class B,"[4952, 4952, 4952, 4952, 4952, 4952, 4952, 4952, 4952]"
1934,CITY OF HAMILTON,MTL020028,HAMILTON,MT,8,2022,2023-01-10T11:30:32.789-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,63.55,0,,Land Application,238.0,,,,Class A,['NO_SIC_MATCH']
1935,MILFORD TOWN OF,NHL100471,MILFORD,NH,1,2022,2023-01-10T12:02:29.286-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,312.0,0,,Land Application,312.0,,,,Class A,"[4952, 4952, 4952, 4952, 4952, 4952]"
1936,NORTHWEST REGIONAL WASTEWATER RECLAMATION FACILITY,NCL110149,RICHLANDS,NC,4,2022,2023-01-10T12:56:38.803-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,12.37,0,,Land Application,12.37,,,,Class B,['NO_SIC_MATCH']
1937,"WOOD RIVER STP, CITY OF",ILL031852,WOOD RIVER,IL,5,2022,2023-01-10T11:39:24.973-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",358.0,0,,Other Management Practice,,,,358.0,Not Applicable,"[4952, 4952, 4952, 4952, 4952]"
1938,"SOCORRO, CITY OF",NML028835,SOCORRO,NM,6,2022,2023-01-10T12:05:40.090-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,129.0,0,,Other Management Practice,,,,129.0,Class B,"[4952, 4952, 4952]"
1939,CAMP CREEK WPCP,GAL025381,FULTON COUNTY,GA,4,2022,2023-01-31T14:42:04.605-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",5204.0,0,,Other Management Practice,,,,5204.0,Not Applicable,"[9511, 4952, 4952, 4952, 4952, 4952, 4952, 4952, 4952, 4952]"
1940,"ABBEVILLE, CITY OF",LAL039748,ABBEVILLE,LA,6,2022,2023-01-10T16:36:18.268-0500,"A POTW that serves 10,000 people or more",180.0,0,,Land Application,180.0,,,,Class B,"[4952, 4952, 4952, 4952]"
1941,SELAH POTW,WAL021032,SELAH,WA,10,2022,2023-01-11T12:19:09.789-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,374.5,0,,Land Application,374.5,,,,Class A,"[4952, 4952, 5171]"
1942,HOOKSETT W W T F,NHL100129,HOOKSETT,NH,1,2022,2023-01-25T07:43:26.150-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,231.0,0,,Other Management Practice,,,,231.0,Class A,['NO_SIC_MATCH']
1943,CLAREMONT  W W T F,NHL101257,CLAREMONT,NH,1,2022,2023-01-10T13:13:30.914-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,975.0,0,,Land Application,975.0,,,,Class A EQ,"[4952, 4952, 4952]"
1944,CITY OF FOREST CITY,IAL021563,FOREST CITY,IA,7,2022,2023-01-10T13:26:50.367-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,27.9,0,,Land Application,27.9,,,,Class B,['NO_SIC_MATCH']
1945,BEAR CREEK WRF LAS,GAL020095,HAMPTON,GA,4,2022,2023-02-15T15:19:14.066-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,31.5,0,,Other Management Practice,,,,31.5,Class B,[4952]
1946,WALNUT CREEK WRF LAS,GAL020137,MCDONOUGH,GA,4,2022,2023-02-15T15:20:47.258-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",915.5,0,,Other Management Practice,,,,915.5,Class A,"[4952, 4952, 4952]"
1947,HENRY COUNTY WATER AUTHORITY (INDIAN CREEK WRF),GAL050241,LOCUST GROVE,GA,4,2022,2023-02-15T15:23:29.889-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",386.7,0,,"Other Management Practice, Land Application",163.0,,,223.7,Class B,"[2035, 5995, 2842, 2754, 4952, 2038, 2754, 4952, 5995, 2842, 2038, 2035]"
1948,"BENTONVILLE, CITY OF",ARL022403,BENTONVILLE,AR,6,2022,2023-01-10T15:15:26.000-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",505.05,0,,Other Management Practice,,,,505.05,Class A EQ,"[4952, 4952, 4952, 4952]"
1949,"WILLOWS, CITY OF",CAL078034,WILLOWS,CA,9,2022,2023-01-10T14:07:16.321-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,99.0,0,,Other Management Practice,,,,99.0,Not Applicable,['NO_SIC_MATCH']
1950,CITY OF TUSCUMBIA DEPARTMENT OF UTILITIES,ALL057100,TUSCUMBIA,AL,4,2022,2023-01-10T14:52:30.098-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,85.2,0,,Land Application,85.2,,,,Class B,"[4952, 4952, 4952, 4952]"
1951,CITY OF WEST POINT,GAL020052,WEST POINT,GA,4,2022,2023-02-17T16:50:42.329-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,88.9,0,,Other Management Practice,,,,88.9,Not Applicable,"[4952, 4952, 4952, 4952]"
1952,EAST HONOLULU WWTP,HIL020203,HONOLULU,HI,9,2022,2023-01-10T15:52:45.340-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,361.12,0,,Other Management Practice,,,,361.12,Not Applicable,"[4952, 4952]"
1953,BUENA VISTA SANITATION DISTRICT,COL045748,BUENA VISTA,CO,8,2022,2023-01-10T14:59:51.232-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,131.5,0,,Other Management Practice,,,,131.5,Not Applicable,['NO_SIC_MATCH']
1954,"BENTON, CITY OF",ARL036498,BENTON,AR,6,2022,2023-01-18T17:07:03.126-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",300.0,0,,"Land Application, Other Management Practice",293.0,,,6.0,"Class A EQ, Class B","[4952, 4952]"
1955,PRAIRIE CREEK WWTP,TX0052892,LEWISVILLE,TX,6,2022,2023-09-22T09:49:52.192-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2738.0,0,,Other Management Practice,,,,2737.0,Class B,"[4952, 4952, 4952]"
1956,CLE ELUM POTW,WAL021938,CLE ELUM,WA,10,2022,2023-01-11T18:12:26.260-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,112.0,0,,Other Management Practice,,,,112.0,Not Applicable,[4952]
1957,HENDERSON WRF,NVL022098,HENDERSON,NV,9,2022,2023-02-13T18:11:14.547-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",6452.0,0,,Other Management Practice,,,,6452.0,Not Applicable,['NO_SIC_MATCH']
1958,FALLSBURG (T),NYL024520,SOUTH FALLSBURG,NY,2,2022,2023-01-20T07:04:07.432-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,578.04,0,,Other Management Practice,,,,578.04,Not Applicable,['NO_SIC_MATCH']
1959,CITY OF EMERSON,GAL026115,EMERSON,GA,4,2022,2023-01-11T07:50:49.325-0500,Other,186.8,0,,Other Management Practice,,,,186.8,Not Applicable,"[4952, 4952]"
1960,"MARION SE STP, CITY OF",ILL029734,MARION,IL,5,2022,2023-01-24T11:08:16.736-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",540.0,0,,Land Application,540.0,,,,Class B,"[4952, 4952, 4952]"
1961,HARRISON BROOK STP,NJL022845,BERNARDS TWP,NJ,2,2022,2023-01-11T09:14:48.994-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,337.93,0,,Other Management Practice,,,,337.93,Not Applicable,"[4952, 4952, 4952, 4952, 4952, 4952]"
1962,"COLUMBUS WWTP, CITY OF",INL032573,COLUMBUS,IN,5,2022,2023-02-06T07:54:32.772-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1404.2055,0,,Land Application,280.62,,,,Class B,['NO_SIC_MATCH']
1963,ZIONSVILLE WWTP,INL036951,ZIONSVILLE,IN,5,2022,2023-01-11T10:33:34.552-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1122.0,0,,Other Management Practice,,,,1122.0,Class B,['NO_SIC_MATCH']
1964,"HERINGTON, CITY OF",KSL022811,HERINGTON,KS,7,2022,2023-01-11T11:02:58.760-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,47.0,0,,Land Application,47.0,,,,Class B,[4581]
1965,"SILVER CITY, TOWN OF",NML020109,GRANT COUNTY,NM,6,2022,2023-01-11T12:13:02.953-0500,"A POTW that serves 10,000 people or more",1100.0,0,,Other Management Practice,,,,138.1,Class B,"[4952, 4952, 4952, 4952, 4952]"
1966,AVENAL WWTP,CAL038610,AVENAL,CA,9,2022,2023-01-23T12:15:00.662-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",250.6,0,,Other Management Practice,,,,250.6,Class B,['NO_SIC_MATCH']
1967,CITY OF SHELDON,IAL032662,SHELDON,IA,7,2022,2023-01-11T15:31:12.186-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,164.0,0,,Land Application,151.0,,,,Class B,['NO_SIC_MATCH']
1968,CLINTON TOWN,NJL148237,CLINTON,NJ,2,2022,2023-01-11T13:36:36.009-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,306.82,0,,Other Management Practice,,,,306.82,Not Applicable,[9111]
1969,FALLS CITY WWTF,NEL021148,FALLS CITY,NE,7,2022,2023-01-11T12:20:12.948-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,80.2,0,,Other Management Practice,,,,80.2,Not Applicable,['NO_SIC_MATCH']
1970,CITY OF GREAT FALLS,MTL021920,GREAT FALLS,MT,8,2022,2023-01-19T13:57:01.107-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1470.26,0,,Other Management Practice,,,,1470.26,Class B,['NO_SIC_MATCH']
1971,"GALENA SOUTH STP, CITY OF",ILL075191,GALENA,IL,5,2022,2023-01-11T14:37:02.638-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,99.82,0,,Land Application,85.37,,,,Class B,"[4952, 4952, 4952, 4952]"
1972,MAGNA WATER & SEWER DIST,UTL021440,MAGNA,UT,8,2022,2023-01-11T13:03:28.007-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",816.0,0,,Other Management Practice,,,,816.0,Class B,"[4952, 4952, 4952, 4952, 4952, 4952, 4952]"
1973,"SILVERTON, CITY OF",ORL020656,SILVERTON,OR,10,2022,2023-01-11T13:32:34.539-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",103.0,0,,Land Application,103.0,,,,Class B,"[4952, 4952, 4952, 4952]"
1974,LOCKPORT (C),NYL027057,LOCKPORT,NY,2,2022,2023-01-13T07:34:03.924-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,598.4,0,,Land Application,598.4,,,,Class A,['NO_SIC_MATCH']
1975,CAMBRIDGE WWTP,MDL021636,CAMBRIDGE,MD,3,2022,2023-01-12T14:07:25.390-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,412.81,0,,Other Management Practice,,,,412.81,Not Applicable,"[4952, 4952, 4952, 4952, 4952, 4952, 4952, 4952]"
1976,NORTHAMPTON P O T W,MAL101818,NORTHAMPTON,MA,1,2022,2023-01-18T09:55:06.060-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,995.51,0,,Other Management Practice,,,,995.51,Not Applicable,"[4952, 4952, 4952, 4952]"
1977,"MARINE CORPS BASE, CAMP PENDLETON",CAL109347,CAMP PENDLETON,CA,9,2022,2023-02-16T14:25:18.661-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,260.41,0,,Other Management Practice,,,,258.22,Not Applicable,['NO_SIC_MATCH']
1978,RED BLUFF WWRP,CAL078891,RED BLUFF,CA,9,2022,2023-01-11T14:01:36.322-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",444.8,0,,Other Management Practice,,,,444.8,Class B,['NO_SIC_MATCH']
1979,IRON MOUNTAIN/KINGSFORD JOINT SEWAGE AUTHORITY,MIL023205,KINGSFORD,MI,5,2022,2023-01-11T14:13:57.145-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",113.99,0,,Land Application,113.99,,,,Class B,['NO_SIC_MATCH']
1980,SCHOFIELD BARRACKS WWTP,HIL110141,WAHIAWA,HI,9,2022,2023-01-20T14:11:27.076-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,189.16,0,,Other Management Practice,,,,189.16,Class A,['NO_SIC_MATCH']
1981,CITY OF LENOIR,NCL023981,LENOIR,NC,4,2022,2023-01-11T15:37:14.947-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",1024.5,20,Land Application,Land Application,514.0,,,,Class A,"[4952, 4952, 4952, 4952]"
